citizenid,employment_status,annual_income
34682,Private Job,30557.61
10849,Private Job,57332.37
94581,Private Job,63908.77
87837,Private Job,28075.89
75116,Private Job,46058.0
75617,Private Job,26672.03
45372,Private Job,69454.11
79666,Private Job,55448.13
16841,Private Job,67214.43
61442,Private Job,62758.95
53943,Private Job,77104.78
22844,Private Job,78550.57
16995,Private Job,59125.97
64451,Private Job,53192.62
23399,Private Job,85456.94
13195,Private Job,36773.32
70019,Government Job,64003.67
23552,Private Job,62821.7
54913,Private Job,83371.33
82458,Self-Employed,30751.36
36112,Self-Employed,82809.66
22409,Private Job,71611.84
85529,Self-Employed,32874.93
70453,Private Job,36912.7
63022,Self-Employed,41801.07
75415,Private Job,66303.22
49155,Government Job,70659.31
74357,Government Job,69962.18
94115,Private Job,64805.42
83485,Government Job,33179.93
74822,Private Job,150609.78
94962,Private Job,27618.34
41788,Private Job,41915.47
61691,Self-Employed,61635.51
15120,Private Job,46542.39
53857,Private Job,76839.0
18264,Private Job,75088.16
85979,Private Job,38293.89
47568,Private Job,65204.1
90444,Government Job,75647.89
63951,Self-Employed,79901.72
99185,Private Job,51074.66
19624,Private Job,80346.44
53771,Private Job,70186.11
99440,Private Job,43091.46
85149,Private Job,45828.57
12313,Private Job,33473.17
95760,Private Job,48127.8
65299,Private Job,47211.44
61671,Government Job,63082.96
74996,Self-Employed,43716.6
97459,Private Job,50676.38
53383,Private Job,3779305.55
66748,Private Job,33023.41
38290,Self-Employed,69609.81
13231,Private Job,27484.23
86752,Self-Employed,70660.39
98407,Private Job,35862.91
21152,Private Job,84842.24
43965,Private Job,85318.68
87813,Private Job,85629.55
48096,Private Job,25795.3
19563,Private Job,38234.05
48124,Government Job,121467.3
69716,Private Job,58766.31
55354,Private Job,69774.76
50939,Private Job,74758.72
20120,Private Job,33260.98
14762,Private Job,77200.84
42909,Private Job,67637.07
38637,Private Job,42680.63
88394,Private Job,25510.94
69130,Private Job,80708.69
95554,Private Job,37090.46
62820,Self-Employed,47236.46
22553,Private Job,76857.8
30157,Government Job,65459.32
25677,Private Job,33085.84
49680,Private Job,84737.46
65202,Private Job,44483.2
84423,Private Job,61280.76
72171,Private Job,63316.04
23623,Private Job,59626.55
93077,Private Job,60347.77
48951,Private Job,39799.01
36658,Government Job,83559.41
58187,Government Job,54743.58
73691,Private Job,33560.47
99166,Private Job,76821.47
52824,Private Job,33974.43
70000,Private Job,4877808.52
35900,Government Job,77613.18
81457,Private Job,59168.64
38819,Private Job,3325711.45
13927,Private Job,159290.2
47376,Self-Employed,27678.18
77133,Private Job,32484.89
21392,Private Job,82554.51
89230,Private Job,32804.32
80596,Private Job,60789.52
16034,Private Job,44146.54
54463,Self-Employed,73633.03
61252,Private Job,73454.98
46667,Government Job,73641.65
31051,Private Job,37661.02
68267,Private Job,68382.03
52895,Self-Employed,30570.55
92996,Private Job,29673.38
75278,Government Job,49941.36
50559,Self-Employed,61433.29
45257,Private Job,44100.91
83765,Government Job,43623.64
62222,Self-Employed,29564.36
83683,Private Job,36955.44
20288,Private Job,62218.71
40594,Private Job,66549.39
74145,Private Job,80359.74
85817,Private Job,47860.74
16145,Private Job,39423.7
61582,Private Job,68873.52
59090,Private Job,66078.13
86656,Private Job,41794.67
49649,Private Job,71899.55
15369,Private Job,37254.59
55029,Government Job,46219.06
42141,Private Job,39958.03
95743,Private Job,64613.01
14557,Private Job,54993.78
43396,Private Job,69771.64
61568,Private Job,31560.28
60851,Government Job,40661.18
35325,Private Job,54591.45
81651,Self-Employed,28461.43
54193,Private Job,69607.58
58909,Private Job,42204.63
42604,Government Job,61831.17
26422,Government Job,79983.39
35868,Private Job,40447.07
48401,Self-Employed,70553.09
25147,Private Job,5227.3
28218,Self-Employed,63642.37
11599,Private Job,35960.57
69950,Self-Employed,69746.52
69890,Private Job,28737.06
79910,Private Job,56649.85
92861,Private Job,32251.25
91330,Private Job,66876.24
32891,Private Job,43552.93
71828,Private Job,74158.82
99081,Private Job,54859.47
82716,Self-Employed,92939.21
47319,Private Job,29912.25
94534,Self-Employed,61478.17
39401,Private Job,25795.14
48758,Private Job,42922.68
87825,Private Job,41403.42
16699,Private Job,84812.76
93176,Private Job,39874.38
31145,Private Job,66279.87
64278,Private Job,40685.51
21312,Private Job,29847.96
43970,Private Job,28834.69
72895,Self-Employed,81494.83
57735,Government Job,30889.84
57874,Government Job,75717.31
58769,Self-Employed,58157.84
87280,Private Job,51356.14
18713,Private Job,85817.4
15657,Self-Employed,79352.26
36945,Private Job,39557.83
89101,Government Job,61534.25
25721,Private Job,34638.79
57273,Private Job,61454.36
20186,Private Job,32678.86
66571,Self-Employed,63265.63
80004,Self-Employed,84328.3
21209,Self-Employed,60483.92
38583,Private Job,32665.04
48528,Private Job,73788.17
88196,Private Job,45262.22
55014,Self-Employed,30731.86
73366,Private Job,128828.74
79980,Private Job,64999.39
45527,Private Job,75664.71
70974,Private Job,54448.48
82531,Private Job,81829.51
58304,Private Job,66625.45
23129,Private Job,63134.91
10614,Self-Employed,46573.91
72652,Private Job,44035.42
69060,Private Job,42258.46
13510,Private Job,83447.44
93137,Self-Employed,125187.27
10095,Private Job,64678.0
91406,Private Job,61243.89
25183,Private Job,44540.6
25495,Private Job,46580.3
44944,Self-Employed,42023.78
63881,Self-Employed,34557.29
89921,Private Job,81117.81
90441,Private Job,60525.0
96008,Private Job,69726.81
77879,Private Job,53985.66
78809,Government Job,28474.37
16169,Private Job,53665.32
12830,Private Job,27580.77
47541,Self-Employed,82721.11
52027,Private Job,45914.0
89786,Private Job,34393.33
12511,Private Job,38847.32
53800,Private Job,80584.83
42377,Self-Employed,37640.29
21699,Private Job,33114.26
30350,Private Job,62656.09
80738,Private Job,30745.06
71337,Private Job,53794.08
57639,Self-Employed,103643.92
92427,Private Job,66385.56
77749,Self-Employed,33557.89
11098,Self-Employed,72520.97
93328,Self-Employed,51154.42
79003,Self-Employed,68411.64
85856,Private Job,40461.3
68432,Self-Employed,51648.45
65537,Private Job,54060.92
77893,Private Job,43038.99
45039,Private Job,73259.77
79509,Private Job,35834.97
33145,Private Job,65453.79
32317,Private Job,81876.0
25469,Private Job,76101.38
14246,Private Job,71610.32
16051,Private Job,33710.61
90586,Government Job,71291.11
65451,Private Job,47850.76
26929,Private Job,31304.8
29470,Private Job,67566.53
93529,Private Job,29025.18
80786,Private Job,48260.85
25310,Private Job,77447.53
24014,Private Job,66880.21
42965,Private Job,56553.23
49578,Private Job,78831.48
73499,Self-Employed,70716.55
10280,Private Job,53656.0
91865,Self-Employed,70573.27
78770,Government Job,78875.24
43597,Private Job,33767.57
74487,Self-Employed,37214.49
63101,Government Job,69281.68
71411,Private Job,35386.22
52860,Private Job,35157.43
58433,Private Job,65031.2
67659,Private Job,57664.42
85908,Private Job,71164.93
96917,Self-Employed,44450.16
34482,Self-Employed,62115.77
50082,Private Job,79698.24
23279,Government Job,80111.16
83827,Government Job,64840.8
82825,Private Job,26423.22
56987,Private Job,57235.15
37159,Private Job,29154.26
97184,Government Job,85375.42
25664,Self-Employed,85818.66
12828,Private Job,32075.75
35576,Private Job,52825.95
41380,Government Job,77531.35
65079,Government Job,32080.63
36404,Private Job,58688.71
35967,Private Job,37180.33
97098,Self-Employed,54626.1
12087,Private Job,37340.45
34298,Private Job,57348.12
70165,Self-Employed,50105.95
55914,Private Job,49025.7
38065,Self-Employed,34781.87
47966,Private Job,65247.74
69994,Private Job,29285.3
71693,Private Job,81965.62
31692,Private Job,28600.81
96460,Private Job,50102.79
76210,Private Job,42493.49
33336,Private Job,58653.63
58154,Self-Employed,26519.14
66629,Private Job,51779.19
86031,Private Job,70976.09
15658,Private Job,74239.42
98999,Private Job,81990.11
73976,Private Job,31610.72
25420,Private Job,58797.5
11592,Self-Employed,49484.35
52463,Private Job,64490.0
49545,Private Job,75746.09
92231,Private Job,61569.28
53721,Private Job,38970.13
88306,Private Job,44599.33
22432,Self-Employed,1267815.52
22577,Private Job,79446.41
12311,Private Job,65963.25
91184,Private Job,61358.18
24944,Self-Employed,33489.35
13180,Private Job,45821.64
47995,Private Job,44706.86
36545,Private Job,26579.69
52479,Government Job,81693.23
10804,Private Job,45229.37
65641,Private Job,31263.66
79698,Self-Employed,55132.14
53243,Private Job,52370.71
16843,Private Job,76852.9
45795,Private Job,73788.98
82067,Government Job,72679.62
27655,Private Job,81869.21
70702,Private Job,47847.47
81598,Self-Employed,60958.33
32411,Private Job,65842.42
51257,Private Job,53802.81
61961,Self-Employed,39875.59
65546,Private Job,79839.96
48268,Private Job,79944.27
54429,Private Job,71831.08
52440,Private Job,46113.11
82364,Self-Employed,25173.65
57142,Private Job,54963.13
53627,Private Job,57000.19
25694,Self-Employed,54765.16
63860,Private Job,30885.96
10966,Private Job,73061.23
27047,Private Job,57460.45
47942,Private Job,38529.53
70015,Private Job,83346.52
66686,Private Job,137905.35
74408,Private Job,43426.76
12168,Private Job,48297.23
53089,Private Job,49485.77
50792,Private Job,49486.88
21832,Private Job,64206.09
68425,Private Job,42316.9
36911,Private Job,80106.85
64517,Private Job,59941.18
46625,Private Job,78674.12
68237,Private Job,80960.38
81482,Private Job,71891.1
86916,Private Job,39863.1
44671,Private Job,45114.33
96897,Self-Employed,38981.48
30425,Government Job,52869.07
98088,Private Job,56170.92
56441,Private Job,45653.48
87925,Private Job,78217.57
15211,Self-Employed,49128.63
88803,Self-Employed,67959.92
67403,Private Job,75866.03
34165,Government Job,34819.65
23540,Private Job,68609.77
45869,Private Job,135760.39
34934,Government Job,34738.86
72964,Private Job,71593.83
46762,Government Job,59608.92
28712,Private Job,56367.67
66090,Private Job,57338.88
23641,Private Job,49492.41
88932,Private Job,28027.83
56407,Private Job,58713.39
30260,Private Job,26370.33
73820,Private Job,80672.61
87664,Private Job,40192.71
27679,Government Job,64583.68
32686,Private Job,59177.53
74868,Private Job,62621.27
59020,Private Job,44782.32
96093,Private Job,52417.0
42094,Private Job,70689.7
15625,Private Job,48862.33
59227,Private Job,42374.45
42109,Private Job,26896.45
83647,Private Job,54033.87
52731,Self-Employed,67369.32
53323,Private Job,42615.27
42271,Self-Employed,4847096.89
33230,Private Job,77807.53
38613,Private Job,32066.31
50006,Private Job,47772.78
45288,Self-Employed,70115.27
26034,Private Job,84139.94
34965,Private Job,48048.46
77765,Private Job,70220.56
34254,Private Job,67214.64
91658,Self-Employed,82146.93
73522,Government Job,55567.73
33578,Government Job,60989.74
84019,Private Job,34893.0
37335,Self-Employed,41262.57
85444,Private Job,63609.36
55887,Private Job,59164.38
46573,Self-Employed,52184.44
51194,Private Job,67732.28
15896,Private Job,39941.36
84600,Private Job,67652.66
31564,Private Job,8393.58
57803,Private Job,36460.62
12827,Private Job,55178.24
96575,Government Job,31922.97
23400,Government Job,56549.93
41183,Self-Employed,75101.9
35840,Private Job,54505.29
47020,Government Job,45003.9
85043,Government Job,33415.0
93004,Private Job,46888.73
84279,Private Job,77267.05
13422,Private Job,48857.72
68733,Private Job,36278.55
94308,Private Job,79196.89
34562,Private Job,81609.63
58161,Private Job,83192.6
73850,Private Job,56643.67
59739,Private Job,59294.8
28191,Government Job,43515.16
52506,Self-Employed,45549.03
69244,Private Job,56430.23
27132,Private Job,34867.41
43804,Private Job,83700.46
99002,Private Job,66787.88
96124,Private Job,27847.3
48453,Government Job,40753.3
28548,Private Job,43308.92
31681,Government Job,25627.51
32421,Government Job,85041.37
13859,Private Job,130958.92
73154,Private Job,42062.22
81759,Private Job,28149.52
36561,Private Job,117063.72
85892,Private Job,78446.0
93738,Self-Employed,172265.93
11598,Self-Employed,31739.99
47035,Self-Employed,52803.27
81656,Private Job,47242.71
24832,Private Job,29757.46
99161,Private Job,2488643.16
11386,Private Job,26987.37
32041,Private Job,159939.99
83279,Private Job,41399.25
64577,Private Job,46943.36
49173,Self-Employed,70541.58
35422,Self-Employed,69181.05
97278,Private Job,53323.51
71436,Self-Employed,37822.51
76666,Private Job,165418.08
54613,Private Job,76371.53
60768,Government Job,64604.13
46565,Private Job,46278.23
75091,Self-Employed,78124.24
85658,Private Job,112545.12
24136,Self-Employed,74903.63
41353,Self-Employed,25036.56
32324,Private Job,78004.13
96395,Private Job,176169.94
92694,Private Job,57294.0
63227,Private Job,81389.31
55616,Private Job,72013.68
68476,Self-Employed,33924.49
76179,Private Job,45810.55
76016,Self-Employed,44013.58
61679,Government Job,67878.39
38679,Private Job,57849.78
78635,Private Job,41500.23
95759,Private Job,71456.26
36629,Private Job,64888.97
96647,Private Job,73382.79
58907,Private Job,70569.11
76799,Private Job,62428.68
19172,Private Job,35128.24
43974,Government Job,36871.02
92592,Self-Employed,73026.72
33537,Private Job,77223.57
66072,Private Job,55635.29
82934,Government Job,85216.02
84257,Self-Employed,43008.04
19989,Private Job,69633.0
65939,Private Job,65852.5
27919,Private Job,70535.13
28086,Private Job,50370.67
76492,Private Job,39903.36
39382,Private Job,2736392.24
25249,Private Job,49696.57
93379,Private Job,36570.98
42111,Private Job,31820.71
40957,Private Job,66739.48
51181,Self-Employed,85134.85
13276,Private Job,65681.37
21827,Self-Employed,33200.56
69355,Private Job,56807.61
55926,Private Job,61851.85
87265,Private Job,69874.49
35750,Private Job,116645.81
88829,Private Job,72299.9
60883,Private Job,37057.88
74305,Government Job,44967.82
29994,Government Job,58145.1
29886,Private Job,25281.68
24604,Self-Employed,37100.87
90266,Private Job,83378.84
90564,Private Job,46793.35
60247,Private Job,95703.41
54833,Private Job,70481.19
28432,Private Job,53810.32
24663,Private Job,163054.56
32110,Private Job,85946.12
30970,Private Job,79989.6
57629,Private Job,42484.15
83390,Private Job,89524.81
26886,Private Job,73961.15
59894,Private Job,177332.51
61983,Self-Employed,58687.82
31044,Private Job,43639.28
89532,Private Job,56433.7
21782,Private Job,45337.62
17331,Government Job,36026.91
84245,Private Job,53524.84
17828,Private Job,50919.0
64135,Private Job,44201.21
39970,Self-Employed,62753.65
42638,Private Job,32828.0
47670,Private Job,84370.75
41615,Private Job,37937.63
42564,Private Job,62372.41
99584,Private Job,49509.46
29428,Government Job,25597.91
72381,Private Job,37965.49
12769,Private Job,58621.64
95736,Private Job,46295.78
15865,Private Job,76017.53
83131,Private Job,66050.88
99283,Private Job,34554.82
42253,Private Job,82048.82
11315,Private Job,39725.4
41998,Private Job,28704.63
18618,Self-Employed,54651.18
87415,Private Job,51707.23
77800,Self-Employed,54954.24
64308,Private Job,29408.27
18128,Private Job,43104.76
96363,Private Job,81230.25
51055,Private Job,73540.8
15476,Private Job,34012.56
37090,Government Job,42577.57
33972,Self-Employed,70572.86
31968,Private Job,77334.42
81447,Self-Employed,33558.45
64003,Private Job,61393.27
64752,Self-Employed,51780.46
31108,Private Job,54632.97
77851,Government Job,96781.79
33509,Private Job,73369.13
56582,Self-Employed,61185.42
79875,Private Job,58985.03
65169,Private Job,48190.84
42870,Private Job,99098.43
22119,Self-Employed,44697.29
22395,Private Job,69493.92
54371,Private Job,88397.22
47536,Private Job,80811.21
36695,Self-Employed,26555.41
99207,Private Job,54043.83
13645,Private Job,59584.03
21925,Self-Employed,96418.4
78609,Private Job,42304.87
45119,Private Job,30376.61
14179,Private Job,35272.95
80525,Self-Employed,68135.53
28094,Private Job,38334.75
96278,Private Job,49251.55
71662,Self-Employed,25964.51
91840,Private Job,107831.56
12995,Self-Employed,35380.97
84706,Private Job,74797.55
23342,Private Job,57115.74
67246,Private Job,30968.8
36594,Private Job,30054.8
17861,Private Job,81170.27
30768,Private Job,47667.73
87164,Self-Employed,71769.02
49595,Private Job,51637.62
14253,Self-Employed,32558.1
24861,Private Job,57041.38
33496,Private Job,31059.67
37871,Self-Employed,77648.97
81112,Private Job,28004.53
71193,Self-Employed,67702.9
17147,Private Job,84626.15
67697,Private Job,160685.14
81365,Private Job,79031.94
94728,Private Job,80287.73
79638,Private Job,40590.1
33832,Government Job,4237.35
17474,Private Job,53522.99
37325,Private Job,39119.59
42731,Self-Employed,66998.47
67814,Self-Employed,64985.41
96303,Private Job,43080.28
69338,Private Job,49987.66
75596,Private Job,48204.88
54759,Private Job,67550.98
65369,Private Job,26144.53
59319,Self-Employed,81442.7
35376,Private Job,33610.38
81397,Private Job,44222.62
76195,Self-Employed,27866.45
97599,Private Job,51789.22
70591,Self-Employed,69985.6
34629,Private Job,72847.73
64329,Private Job,47069.84
33764,Self-Employed,48299.26
27051,Private Job,45720.28
31257,Government Job,38405.09
18458,Private Job,87056.26
65047,Government Job,68587.02
60087,Private Job,79508.19
84171,Private Job,49803.83
85829,Private Job,68944.45
35709,Private Job,54831.13
75673,Private Job,32824.24
94758,Private Job,56219.92
93965,Private Job,41293.51
58331,Private Job,65822.36
36970,Government Job,52400.97
94572,Private Job,66308.0
69619,Private Job,54356.73
33688,Private Job,71434.58
17984,Private Job,85832.15
73559,Self-Employed,77475.85
79943,Private Job,68139.41
69503,Private Job,39966.53
84017,Private Job,59751.62
19912,Government Job,166311.75
80632,Private Job,63637.91
19113,Government Job,69679.4
96970,Private Job,36812.94
29124,Self-Employed,56531.37
77745,Private Job,53209.7
72669,Self-Employed,41025.16
93859,Private Job,57877.26
81705,Private Job,80452.41
61021,Government Job,71912.49
45476,Private Job,59030.84
77724,Private Job,69512.11
40813,Self-Employed,73122.01
57091,Private Job,69100.36
22504,Private Job,77498.72
19105,Private Job,72396.24
63761,Private Job,75492.93
52252,Government Job,56666.44
93518,Private Job,55684.99
30979,Private Job,46848.79
71657,Private Job,55087.96
55604,Private Job,67525.3
94595,Self-Employed,43974.81
21393,Self-Employed,38616.3
50074,Private Job,78743.34
19189,Private Job,26666.15
26681,Self-Employed,82016.59
81416,Private Job,76881.22
78508,Private Job,65180.31
46500,Private Job,71341.73
68221,Private Job,61584.92
65160,Self-Employed,59950.65
19232,Private Job,64577.7
72579,Self-Employed,25326.56
29353,Private Job,75903.75
51469,Private Job,74791.53
77991,Self-Employed,114457.6
28945,Self-Employed,54667.65
39150,Government Job,39453.03
36166,Private Job,45392.37
83178,Government Job,51054.0
63367,Private Job,34699.72
74534,Private Job,62091.54
53503,Private Job,34261.4
23905,Private Job,66680.72
70718,Government Job,59394.97
90710,Private Job,75984.71
95444,Private Job,49284.13
27823,Private Job,80257.16
49631,Private Job,64830.42
69371,Private Job,25049.21
79265,Private Job,51678.46
74475,Private Job,4965092.76
91503,Private Job,83985.79
33454,Self-Employed,83599.66
38045,Private Job,59865.97
55343,Private Job,169614.13
38362,Government Job,65386.96
50219,Private Job,39439.63
25598,Self-Employed,44599.68
97645,Private Job,49124.87
81491,Self-Employed,50229.14
49045,Private Job,68121.2
30283,Private Job,29641.34
80010,Private Job,27791.77
50737,Private Job,56755.49
50191,Self-Employed,60290.5
53823,Private Job,48634.85
80107,Private Job,70562.19
50420,Private Job,35272.65
90422,Self-Employed,125218.76
27090,Government Job,152342.85
31915,Private Job,85447.23
20810,Private Job,46380.39
27777,Private Job,45227.68
14879,Private Job,48993.15
31560,Private Job,76037.67
61513,Private Job,38440.06
10508,Self-Employed,52831.68
34986,Self-Employed,41221.27
37433,Private Job,27587.55
95448,Private Job,47400.67
43865,Self-Employed,29634.8
32732,Private Job,84186.73
48336,Private Job,33586.96
27542,Self-Employed,85051.15
32806,Private Job,53065.37
98216,Private Job,35113.6
22955,Private Job,99744.84
22487,Private Job,41210.09
48150,Private Job,48608.71
16622,Private Job,66384.24
88127,Private Job,68532.17
63543,Self-Employed,38308.14
65952,Private Job,37042.14
41068,Private Job,80711.04
12819,Private Job,137064.04
14356,Private Job,52579.59
58462,Government Job,46899.16
47115,Private Job,63193.38
39694,Private Job,58482.9
18453,Private Job,116890.92
93331,Private Job,79560.87
24038,Private Job,34667.18
29138,Private Job,52540.16
13989,Private Job,37170.22
41224,Self-Employed,31502.07
28554,Self-Employed,42585.52
99072,Government Job,29125.44
20849,Self-Employed,61756.24
84843,Government Job,76944.26
88444,Self-Employed,43433.83
11911,Private Job,63605.73
98786,Private Job,32917.22
22593,Government Job,39322.91
20460,Private Job,66227.02
58922,Private Job,81086.01
59591,Private Job,26160.83
54806,Private Job,64207.55
56671,Private Job,67980.22
44522,Private Job,61446.37
42424,Private Job,51078.71
18478,Self-Employed,85270.5
18824,Government Job,41638.46
35986,Self-Employed,53451.65
64382,Self-Employed,66096.7
66840,Private Job,25003.47
20877,Private Job,47031.02
60813,Private Job,48971.31
39254,Self-Employed,25643.95
22308,Private Job,26595.88
47059,Government Job,85303.62
41020,Private Job,31646.97
88364,Self-Employed,39410.16
85730,Private Job,33456.06
61577,Self-Employed,56334.49
66113,Private Job,69898.88
56565,Private Job,29695.62
92244,Private Job,60745.87
11048,Self-Employed,46534.62
19661,Private Job,54924.06
14783,Self-Employed,41224.75
81737,Government Job,77687.08
51626,Government Job,52594.36
13842,Private Job,34791.14
36829,Private Job,73300.66
16972,Private Job,70861.53
99131,Self-Employed,54579.5
48936,Self-Employed,69021.69
61968,Government Job,61726.89
67780,Private Job,35054.99
98344,Private Job,85957.78
37539,Self-Employed,72113.72
98419,Private Job,65653.37
92618,Self-Employed,75699.23
73311,Private Job,81615.05
35291,Private Job,60245.13
57534,Self-Employed,60894.13
26152,Private Job,26432.49
96119,Private Job,50308.74
49223,Self-Employed,56031.82
54364,Private Job,39286.72
74958,Government Job,46932.52
63432,Government Job,47344.15
65684,Private Job,47437.97
19059,Private Job,83302.88
26912,Private Job,60838.95
67192,Private Job,44147.15
20560,Private Job,43587.16
13511,Government Job,76659.41
88960,Private Job,64145.61
11404,Private Job,76913.99
33646,Private Job,64263.0
88281,Private Job,80798.56
42431,Private Job,49537.21
87996,Self-Employed,76390.99
45460,Private Job,35730.89
49544,Private Job,65836.77
22142,Private Job,47189.8
12652,Private Job,110577.61
49196,Private Job,57023.6
14172,Self-Employed,69929.13
81048,Private Job,59431.8
36211,Private Job,69530.07
18049,Private Job,27230.34
14877,Private Job,49381.97
99574,Private Job,83205.43
62102,Private Job,71465.48
92061,Private Job,54468.91
69513,Private Job,68224.32
94616,Private Job,26645.17
31100,Private Job,42848.48
39068,Private Job,80086.76
28305,Self-Employed,55279.85
32433,Private Job,83111.41
54981,Self-Employed,41164.67
74792,Private Job,75898.59
99761,Private Job,26193.59
64959,Private Job,25239.45
46774,Self-Employed,33344.32
43825,Private Job,40953.22
12337,Private Job,27599.13
95398,Private Job,37895.02
25159,Private Job,78249.96
31600,Private Job,80841.69
91011,Private Job,32222.6
20659,Private Job,44238.58
41148,Private Job,62195.73
60027,Private Job,65317.77
58307,Private Job,26695.24
97009,Private Job,80637.68
98658,Private Job,51056.01
12549,Private Job,51914.02
93442,Private Job,30217.57
85121,Private Job,57031.16
70583,Private Job,60840.19
63585,Private Job,10887.42
56417,Private Job,52880.3
61037,Private Job,79147.64
67762,Private Job,31634.28
90226,Private Job,36269.37
39673,Private Job,47886.88
62254,Self-Employed,62159.79
10829,Private Job,50863.63
95565,Private Job,76905.22
77558,Private Job,37971.41
12104,Private Job,39629.53
63688,Self-Employed,79390.6
98941,Self-Employed,53556.88
34878,Government Job,64776.1
31853,Self-Employed,47917.98
24798,Private Job,47893.43
70507,Private Job,33834.32
37283,Self-Employed,79125.2
82059,Private Job,202812.27
81063,Self-Employed,75411.27
22775,Private Job,57687.3
38086,Private Job,27370.41
69013,Self-Employed,38724.89
16627,Private Job,36675.49
29714,Government Job,57750.3
23992,Private Job,34623.48
89251,Private Job,51394.27
13252,Self-Employed,36876.76
56043,Private Job,42459.79
47581,Private Job,43385.95
74984,Private Job,38869.55
82488,Self-Employed,41048.85
83015,Government Job,34407.86
31421,Private Job,72167.22
19594,Private Job,84335.23
32777,Self-Employed,72695.38
84778,Self-Employed,47354.84
13962,Private Job,71138.28
99516,Private Job,28836.74
71185,Government Job,46573.0
93755,Private Job,49208.23
64128,Self-Employed,25778.59
59900,Private Job,149720.08
23659,Private Job,82956.92
18881,Private Job,2634.94
85568,Self-Employed,53333.74
99722,Private Job,85259.01
30697,Private Job,42026.6
70930,Private Job,84714.82
86823,Self-Employed,62404.13
81385,Private Job,50389.63
26776,Private Job,75780.98
67552,Private Job,58045.3
80458,Private Job,75432.3
17754,Private Job,55853.26
13822,Private Job,171033.97
14883,Private Job,50531.65
69688,Government Job,62098.81
86933,Self-Employed,71137.96
18006,Self-Employed,27873.14
29386,Private Job,49583.84
56352,Government Job,35293.77
99055,Private Job,82940.11
77747,Private Job,84294.79
65903,Private Job,145631.4
74024,Private Job,80497.8
53989,Private Job,56293.48
90997,Private Job,71111.22
10593,Private Job,81248.97
50472,Private Job,78167.15
91646,Private Job,57677.91
27123,Private Job,34083.2
80161,Private Job,80496.69
76366,Private Job,75054.94
87867,Private Job,49479.02
31349,Private Job,53316.94
15106,Private Job,85340.98
84840,Government Job,61684.93
18682,Private Job,35336.11
85893,Private Job,34977.69
73793,Self-Employed,28961.79
26381,Private Job,60855.16
95522,Private Job,26638.44
35779,Private Job,74829.81
14050,Private Job,44416.5
28578,Private Job,45889.21
63043,Government Job,71410.91
84764,Private Job,31447.19
82574,Private Job,57228.46
59261,Private Job,47565.68
67618,Government Job,31152.3
56366,Self-Employed,43139.94
48460,Private Job,63361.68
10341,Private Job,65452.65
51654,Private Job,32699.86
49011,Private Job,82256.72
50896,Private Job,36186.94
17682,Private Job,65453.4
68809,Self-Employed,44852.24
86320,Private Job,67866.33
95250,Private Job,74603.68
37975,Private Job,29924.82
28031,Private Job,73617.22
28914,Private Job,32382.36
89616,Government Job,56655.26
89505,Private Job,45618.11
35994,Self-Employed,43732.21
62910,Private Job,34284.2
62553,Private Job,66274.28
57900,Private Job,43464.32
43048,Private Job,55835.55
27731,Private Job,25923.15
62794,Private Job,61860.94
70493,Private Job,66311.08
36456,Self-Employed,28802.66
99949,Private Job,57483.83
40488,Private Job,68569.53
45905,Private Job,33636.13
96324,Private Job,27670.76
18603,Private Job,36804.22
72027,Private Job,46451.0
99652,Private Job,51020.64
88124,Private Job,29443.79
52009,Government Job,84737.44
33514,Government Job,67054.59
73204,Private Job,33157.88
47254,Private Job,73644.55
13793,Government Job,44514.2
98547,Private Job,47883.82
40822,Private Job,169094.24
27037,Government Job,121303.19
49660,Private Job,29420.83
46588,Government Job,50796.07
48290,Private Job,29745.15
94207,Private Job,66496.03
78152,Private Job,45945.42
59187,Self-Employed,43074.3
42364,Private Job,64549.12
23216,Private Job,66974.79
22294,Government Job,63964.31
96474,Self-Employed,73110.76
65018,Government Job,63935.87
54170,Private Job,82650.95
79612,Self-Employed,59539.53
11862,Private Job,148486.93
32907,Private Job,78978.59
89437,Self-Employed,83631.79
35659,Private Job,34985.25
48583,Private Job,66284.03
13202,Private Job,65025.0
16204,Government Job,78039.07
57309,Private Job,45557.78
14644,Private Job,49032.06
54951,Private Job,95303.03
98765,Private Job,27876.34
74656,Self-Employed,71742.91
27483,Private Job,41241.69
13220,Private Job,81666.81
80432,Government Job,65445.28
21088,Private Job,45290.35
41215,Private Job,74919.93
39479,Private Job,74857.67
72016,Government Job,34855.08
59843,Private Job,58053.16
39612,Private Job,25618.62
97473,Private Job,45988.9
83284,Private Job,67358.09
78581,Government Job,45135.7
11305,Government Job,33171.89
35254,Private Job,60216.49
12981,Private Job,83651.59
66966,Government Job,50189.58
68250,Private Job,80998.14
73529,Private Job,80238.33
52654,Self-Employed,65778.78
24070,Private Job,29293.07
99521,Private Job,64884.27
55801,Private Job,61053.83
82584,Self-Employed,60465.14
19517,Private Job,45644.3
67244,Self-Employed,70783.74
83912,Self-Employed,78860.18
44919,Self-Employed,66162.03
86287,Self-Employed,34024.45
84613,Private Job,72862.05
85063,Self-Employed,34545.49
79576,Private Job,73791.07
77395,Self-Employed,62074.19
50174,Private Job,175376.32
75198,Private Job,45907.03
47413,Private Job,59560.9
42607,Government Job,75224.15
99915,Private Job,56212.54
29537,Private Job,54067.51
72138,Self-Employed,37948.5
